nomDuMusee;adr;cp;ville;telephone1;region;departement;coordonneesFinales
Musée Municipal Albert Marzelles;15, Rue Abel Boyé;47200;MARMANDE;0553644204;NOUVELLE-AQUITAINE;LOT ET GARONNE;44.498918,0.166067
Musée National Eugène Delacroix;6, Rue Furstenberg;75006;PARIS;0144418650;ÎLE-DE-France;PARIS;48.854437,2.335771
Musée Crozatier;Jardin Henri Vinay;43000;LE PUY-EN-VELAY;0471066240;AUVERGNE-RHÔNE-ALPES;HAUTE-LOIRE;45.0562801759,3.86447846564
Musée Archéologique;Palais Rohan 2, Place du Château;67000;STRASBOURG;0388525000;GRAND EST;BAS-RHIN;48.5716222333,7.76768232804
Musée d'Histoire Locale;9, Rue Saint-Sébastien;06410;BIOT;0493655454;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;43.627369,7.098469
Musée Municipal;Hôtel de ville B.P. 189;44146;CHATEAUBRIANT;;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;
Musée Hyacinthe Rigaud;21, rue Mailly;66000;PERPIGNAN;0468354340;OCCITANIE;PYRENEES ORIENTALES;42.698013,2.892984
Musée Marc Deydier;146, Rue de l'Eglise;84160;CUCURON;0490772615;PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;43.772515,5.440587
Le Port-Musée;Place de l'Enfer;29100;DOUARNENEZ;0298926520;BRETAGNE;FINISTERE;48.092785,-4.332917
Ecomusée des Monts d'Arrée - Maison Cornec;Maison Cornec;29190;RIVOAL;0298688776;BRETAGNE;FINISTERE;48.2519856293,-3.95679953662
Musée du Pays Châtillonnais - Trésor de Vix;14, Rue de la Libération;21400;CHATILLON-SUR-SEINE;0380912467;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.863812,4.574628
Musée Noisot;Mairie de Fixin;21220;FIXIN;0380524552;BOURGOGNE-FRANCHE-COMTE;CÔTE D’OR;47.243639,4.989806
Musée du Costume;Hauteville-Gondon;73700;BOURG-SAINT-MAURICE;0479070901;AUVERGNE-RHÔNE-ALPES;SAVOIE;45.595417,6.759954
La Tour aux Puces - Musée du Pays Thionvillois;Cour du Château B.P. 30352;57125;THIONVILLE Cedex;0382822552;GRAND EST;MOSELLE;
Musée Garinet;13, rue Pasteur;51000;CHALONS-EN-CHAMPAGNE;0326693853;GRAND EST;MARNE;48.955828,4.366495
Musée de la Poste et des Techniques de communication;52, Rue Saint-Pierre;14000;CAEN;0231501210;NORMANDIE;CALVADOS;49.183359,-0.363538
Musée des Beaux-Arts;20, Cours D'Albret;33000;BORDEAUX;0556102056;NOUVELLE-AQUITAINE;GIRONDE;44.838056,-0.579413
Maison des Consuls - Musée d’Arts et d’Archéologie en Grand Pic Saint-Loup;Rue des Consuls;34270;LES MATELLES;0499632546;OCCITANIE;HERAULT;43.731232,3.809866
Muséum d'Histoire Naturelle;12, Place  Fontaine Neuve;66000;PERPIGNAN;0468663368;OCCITANIE;PYRENEES ORIENTALES;42.697685,2.899434
Musée Jules-Desbois;1, Place Jules-Desbois;49390;PARCAY-LES-PINS;0241822880;PAYS DE LA LOIRE;MAINE-ET-LOIRE;47.436645,0.159784
Bibliothèque-musée;Rue Charles-Garnier;72120;SAINT-CALAIS;0243356303;PAYS DE LA LOIRE;SARTHE;47.92073,0.742885
Musée Archéologique - Site de Terra Amata;25, Boulevard Carnot;06364;NICE Cedex 04;0493555993;PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;
Musée Quesnel-Morinière;2, Rue Quesnel-Morinière;50200;COUTANCES;0233070788;NORMANDIE;MANCHE;49.047263,-1.446668
Musée du Service de Santé des Armées du Val-de-Grâce;1, Place Alphonse Laveran;75230;PARIS Cedex 05;0140515192;ÎLE-DE-France;PARIS;
Musée Borély (Musée des Arts décoratifs, de la Faïence et de la Mode);134, Avenue Clot-Bey Château Borély;13008;MARSEILLE;0491553360;PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;43.2388428582,5.37571442554
Musée Jadis Allevard;Parc des Forges;38580;ALLEVARD-LES-BAINS;0476451640;AUVERGNE-RHÔNE-ALPES;ISERE;45.390007,6.072301
Musée Départemental Alexandre Franconie;1, Avenue du Général-de-Gaulle;97300;CAYENNE - GUYANE;0594295913;GUYANE;GUYANE;4.938177,-52.334359
Musée de l'Ancien Evêché;6, ru Charles Corbeau;27000;EVREUX;0232318190;NORMANDIE;EURE;49.023998,1.1502
Musée du Château;Château de Pontécoulant;14110;PONTECOULANT;0231696254;NORMANDIE;CALVADOS;48.897,-0.587616
Musée d'Initiation à la Nature;Enceinte de l'hôtel de ville;14027;CAEN Cedex 9;0231304327;NORMANDIE;CALVADOS;
Musée des Beaux-Arts;1, rue de Friedland;16000;ANGOULEME;0545956868;NOUVELLE-AQUITAINE;CHARENTE;45.6493,0.152569
Musée Archéologique "Armand-Viré";Rue de la Ville;46140;LUZECH;0565201727;OCCITANIE;LOT;44.47916,1.286278
Musée Départemental du Compagnonnage;98, Rue Pierre-François Guillon;71570;ROMANECHE-THORINS;0385352202;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.187946,4.73427
Musée René Davoine;32, rue René Davoine;71120;CHAROLLES;0385883601;BOURGOGNE-FRANCHE-COMTE;SAONE ET LOIRE;46.431256,4.273255
Ecomusée d'Ouessant - Vivre sur une Ile;Le Niou Huella;29242;OUESSANT;0298488637;BRETAGNE;FINISTERE;48.460406,-5.110939
Musée George Sand et de la Vallée Noire;71, Rue Venôse;36400;LA CHATRE;0254483679;CENTRE-VAL DE LOIRE;INDRE;46.581939,1.989964
Musée d'Histoire du  20ème Siècle - Résistance et Déportation;Rue du Couvent;42380;ESTIVAREILLES;0477502920;AUVERGNE-RHÔNE-ALPES;LOIRE;45.415962,4.009491
